partition,elements,neighboring_ranks,max_mpi_faces_per_neighboring_rank,interior_elements,mpi_elements,mpi_faces,mpi_dr_faces,dynamic_rupture_faces,free_surface_faces,transparent_faces,mpi_copy_elements,mpi_ghost_elements
0,377,10,35,242,135,160,0,0,36,0,148,156
1,381,12,35,199,182,210,0,0,0,0,203,199
2,378,14,35,213,165,204,0,0,0,0,192,194
3,374,13,35,211,163,204,0,0,0,0,193,182
4,381,15,28,221,160,202,0,0,0,0,187,191
5,376,13,24,244,132,154,0,0,50,0,152,147
6,375,8,35,236,139,168,0,0,50,0,157,159
7,380,12,46,224,156,183,0,0,35,0,172,173
8,380,16,38,210,170,206,0,0,0,0,191,194
9,381,15,38,207,174,216,0,0,0,0,202,202
10,373,14,29,218,155,190,0,0,0,0,176,184
11,378,16,29,206,172,218,0,0,0,0,208,206
12,375,10,31,226,149,175,0,0,23,0,164,158
13,379,12,46,225,154,188,0,0,34,0,175,174
14,376,11,40,243,133,162,0,0,52,0,149,153
15,371,11,40,207,164,194,0,0,0,0,186,179
16,380,13,38,216,164,202,0,0,0,0,191,191
17,377,12,38,227,150,169,0,0,39,0,163,158
18,379,10,33,243,136,173,0,0,43,0,161,163
19,377,14,33,218,159,206,0,0,0,0,191,199
20,379,14,41,204,175,226,0,0,0,0,207,221
21,381,14,41,214,167,206,0,0,0,0,189,193
22,377,15,38,202,175,206,0,0,0,0,197,193
23,373,17,40,182,191,236,0,0,0,0,222,221
24,380,11,28,230,150,178,0,0,0,0,163,176
25,376,10,30,234,142,157,0,0,55,0,151,148
26,380,15,37,216,164,196,0,0,0,0,188,187
27,375,12,37,230,145,174,0,0,28,0,167,164
28,380,14,48,193,187,223,0,0,3,0,211,206
29,378,7,48,250,128,158,0,0,62,0,149,153
30,373,14,39,200,173,212,0,0,0,0,202,196
31,376,13,35,205,171,212,0,0,0,0,196,193
32,381,15,33,214,167,207,0,0,9,0,193,201
33,376,15,31,212,164,206,0,0,0,0,193,195
34,379,8,42,245,134,157,0,0,51,0,147,143
35,380,14,42,222,158,192,0,0,0,0,178,182
36,373,15,47,207,166,208,0,0,0,0,193,196
