partition,elements,neighboring_ranks,max_mpi_faces_per_neighboring_rank,interior_elements,mpi_elements,mpi_faces,mpi_dr_faces,dynamic_rupture_faces,free_surface_faces,transparent_faces
0,13659,17,366,11771,1888,2422,0,0,0,0
1,13673,12,437,11883,1790,2296,0,0,0,0
2,13660,15,437,11817,1843,2422,0,0,0,0
3,13660,15,449,11839,1821,2354,0,0,0,0
4,13664,17,352,11882,1782,2332,0,0,0,0
5,13657,17,449,11744,1913,2508,0,0,0,0
6,13664,12,327,12196,1468,1950,0,0,0,466
7,13644,12,432,12038,1606,2068,0,0,0,280
8,13653,13,432,12042,1611,2069,0,0,0,257
9,13665,9,431,12133,1532,1958,0,0,0,306
10,13664,14,431,11760,1904,2452,0,0,0,0
11,13668,15,389,11710,1958,2570,0,0,0,0
12,13676,13,389,11932,1744,2288,0,0,0,270
13,13588,17,350,11725,1863,2350,0,0,0,0
14,13703,17,479,11816,1887,2358,0,0,0,0
15,13614,12,479,11771,1843,2324,0,0,0,0
16,13612,18,341,11780,1832,2376,0,0,0,0
17,13641,16,361,11829,1812,2332,0,0,0,0
18,13701,18,395,11690,2011,2608,0,0,0,0
19,13667,14,395,11827,1840,2352,0,0,0,0
20,13702,16,369,11936,1766,2305,0,0,0,111
21,13655,11,562,11715,1940,2479,0,0,0,53
22,13690,11,562,12165,1525,1953,0,0,0,347
23,13671,13,533,12018,1653,2162,0,0,0,478
24,13667,15,533,11856,1811,2344,0,0,0,0
25,13690,11,453,12154,1536,2024,0,0,0,204
26,13614,10,481,11956,1658,2084,0,0,0,288
27,13593,18,466,11617,1976,2476,0,0,0,0
28,13654,17,432,11786,1868,2452,0,0,0,0
29,13624,19,432,11694,1930,2430,0,0,0,0
30,13633,17,269,11768,1865,2426,0,0,0,0
31,13748,13,616,11882,1866,2376,0,0,0,0
32,13615,15,616,11661,1954,2578,0,0,0,0
33,13673,15,490,11779,1894,2426,0,0,0,0
34,13670,17,243,11908,1762,2222,0,0,0,0
35,13634,13,414,11842,1792,2278,0,0,0,0
36,13640,17,500,11616,2024,2618,0,0,0,0
37,13677,15,500,11701,1976,2514,0,0,0,0
38,13733,12,427,11997,1736,2392,0,0,0,0
39,13611,16,427,11723,1888,2368,0,0,0,0
40,13519,15,424,11622,1897,2380,0,0,0,0
41,13688,17,418,11819,1869,2488,0,0,0,0
42,13600,16,424,11612,1988,2512,0,0,0,0
43,13617,17,298,11743,1874,2368,0,0,0,0
44,13647,15,384,11712,1935,2450,0,0,0,0
45,13635,18,315,11671,1964,2556,0,0,0,0
46,13773,17,384,12040,1733,2322,0,0,0,0
47,13606,17,396,11665,1941,2442,0,0,0,0
48,13679,15,532,11683,1996,2540,0,0,0,0
49,13665,14,532,11810,1855,2348,0,0,0,0
50,13747,16,315,11954,1793,2372,0,0,0,0
51,13660,18,315,11868,1792,2252,0,0,0,0
52,13623,15,469,11718,1905,2430,0,0,0,0
53,13737,16,469,11913,1824,2302,0,0,0,0
54,13663,16,350,11888,1775,2352,0,0,0,0
55,13694,17,335,11887,1807,2346,0,0,0,0
56,13664,15,335,11870,1794,2268,0,0,0,0
57,13666,15,358,11759,1907,2428,0,0,0,0
58,13653,15,375,11822,1831,2340,0,0,0,0
59,13648,17,294,11850,1798,2310,0,0,0,0
60,13644,10,446,12287,1357,1739,0,0,0,375
61,13656,13,403,11969,1687,2194,0,0,0,168
62,13668,11,446,11922,1746,2307,0,0,0,159
63,13568,13,432,11768,1800,2266,0,0,0,172
64,13639,13,371,11821,1818,2334,0,0,0,0
65,13666,13,397,12079,1587,2144,0,0,0,234
66,13655,9,397,12085,1570,1968,0,0,0,346
67,13664,13,358,11888,1776,2338,0,0,0,0
68,13661,14,371,11916,1745,2306,0,0,0,0
69,13661,16,371,11681,1980,2636,0,0,0,0
70,13652,14,429,11783,1869,2398,0,0,0,92
71,13674,13,429,12208,1466,1924,0,0,0,434
72,13672,10,437,12140,1532,1973,0,0,0,297
73,13704,12,533,11804,1900,2414,0,0,0,210
74,13651,15,437,11782,1869,2394,0,0,0,0
75,13650,12,409,11834,1816,2314,0,0,0,0
76,13666,17,409,11649,2017,2574,0,0,0,0
77,13664,18,437,11771,1893,2482,0,0,0,0
78,13664,10,430,12297,1367,1839,0,0,0,419
79,13614,11,417,12066,1548,1952,0,0,0,320
80,13616,11,533,11825,1791,2237,0,0,0,103
81,13668,14,397,11922,1746,2262,0,0,0,0
82,13652,17,395,11775,1877,2496,0,0,0,0
83,13663,18,415,11712,1951,2512,0,0,0,0
84,13586,15,388,11649,1937,2428,0,0,0,0
85,13759,17,384,11972,1787,2356,0,0,0,0
86,13661,13,339,11807,1854,2346,0,0,0,0
87,13671,15,486,11925,1746,2284,0,0,0,0
88,13650,14,344,11833,1817,2274,0,0,0,0
89,13673,14,360,11833,1840,2336,0,0,0,0
90,13650,18,357,11674,1976,2514,0,0,0,0
91,13612,17,380,11762,1850,2358,0,0,0,0
92,13695,15,388,11723,1972,2492,0,0,0,0
93,13652,19,571,11649,2003,2610,0,0,0,0
94,13723,19,571,11777,1946,2560,0,0,0,0
95,13643,13,316,11907,1736,2248,0,0,0,0
96,13673,14,438,11854,1819,2362,0,0,0,0
97,13655,18,438,11733,1922,2494,0,0,0,0
98,13785,14,435,11973,1812,2400,0,0,0,0
99,13558,16,403,11660,1898,2372,0,0,0,0
100,13654,17,380,11867,1787,2332,0,0,0,0
101,13697,14,375,11855,1842,2384,0,0,0,0
102,13665,17,325,11769,1896,2424,0,0,0,0
103,13657,15,346,11797,1860,2336,0,0,0,0
104,13658,12,357,11866,1792,2238,0,0,0,0
105,13718,18,405,11765,1953,2514,0,0,0,0
106,13693,17,405,11800,1893,2412,0,0,0,0
107,13657,16,491,11749,1908,2450,0,0,0,0
108,13653,15,491,11625,2028,2578,0,0,0,0
109,13525,18,382,11419,2106,2598,0,0,0,0
110,13764,16,459,11924,1840,2402,0,0,0,0
111,13740,15,512,11870,1870,2448,0,0,0,0
112,13652,16,406,11799,1853,2452,0,0,0,0
113,13686,15,441,11798,1888,2388,0,0,0,0
114,13722,17,441,11938,1784,2304,0,0,0,0
115,13693,18,417,11888,1805,2430,0,0,0,0
116,13638,15,391,11806,1832,2346,0,0,0,0
117,13652,14,370,11830,1822,2384,0,0,0,0
118,13658,17,419,11794,1864,2472,0,0,0,0
119,13675,15,419,11994,1681,2308,0,0,0,0
120,13677,15,499,11768,1909,2434,0,0,0,0
121,13662,16,499,11821,1841,2354,0,0,0,0
122,13653,17,512,11733,1920,2536,0,0,0,0
123,13569,16,414,11642,1927,2496,0,0,0,0
124,13686,17,431,11929,1757,2332,0,0,0,0
125,13575,17,435,11785,1790,2428,0,0,0,0
126,13739,16,466,12012,1727,2286,0,0,0,0
127,13647,15,357,11766,1881,2398,0,0,0,0
128,13658,16,357,11829,1829,2384,0,0,0,0
129,13642,16,497,11658,1984,2572,0,0,0,0
130,13561,16,331,11708,1853,2348,0,0,0,0
131,13709,15,497,11998,1711,2254,0,0,0,0
132,13594,15,525,11758,1836,2362,0,0,0,0
133,13724,17,525,11778,1946,2542,0,0,0,0
134,13625,16,461,11833,1792,2256,0,0,0,0
135,13763,20,461,11489,2274,2984,0,0,0,0
136,13645,15,389,11819,1826,2260,0,0,0,0
137,13568,17,495,11675,1893,2502,0,0,0,0
138,13713,15,495,11863,1850,2414,0,0,0,0
139,13659,14,399,11841,1818,2354,0,0,0,0
140,13689,15,320,11940,1749,2266,0,0,0,0
141,13713,17,295,11918,1795,2324,0,0,0,0
142,13643,13,459,11762,1881,2378,0,0,0,0
143,13588,21,377,11788,1800,2250,0,0,0,0
144,13593,18,391,11590,2003,2518,0,0,0,0
145,13658,16,487,11802,1856,2436,0,0,0,0
146,13604,15,487,11736,1868,2384,0,0,0,0
147,13667,17,391,11825,1842,2362,0,0,0,0
148,13692,14,367,11843,1849,2438,0,0,0,0
149,13619,14,301,11913,1706,2204,0,0,0,0
150,13587,15,373,11703,1884,2366,0,0,0,0
151,13607,15,331,11718,1889,2430,0,0,0,0
152,13764,19,331,11942,1822,2358,0,0,0,0
153,13645,12,311,11820,1825,2314,0,0,0,0
154,13625,16,391,11836,1789,2342,0,0,0,0
155,13649,18,383,11665,1984,2564,0,0,0,0
156,13707,15,392,11801,1906,2514,0,0,0,0
157,13674,15,453,11911,1763,2396,0,0,0,0
158,13681,15,453,11741,1940,2540,0,0,0,0
159,13681,15,314,11869,1812,2368,0,0,0,0
160,13622,16,373,11707,1915,2436,0,0,0,0
161,13666,16,395,11823,1843,2336,0,0,0,0
162,13635,17,395,11710,1925,2530,0,0,0,0
163,13664,12,371,11890,1774,2241,0,0,0,175
164,13664,8,419,12005,1659,2075,0,0,0,285
165,13664,14,419,12008,1656,2129,0,0,0,389
166,13656,11,406,12102,1554,1946,0,0,0,442
167,13650,11,411,11835,1815,2362,0,0,0,0
168,13671,13,411,11788,1883,2380,0,0,0,0
169,13598,17,344,11627,1971,2520,0,0,0,0
170,13711,18,383,11868,1843,2368,0,0,0,0
171,13634,15,383,11802,1832,2334,0,0,0,0
172,13568,15,381,11761,1807,2350,0,0,0,0
173,13724,15,378,11914,1810,2382,0,0,0,0
174,13680,16,451,11801,1879,2434,0,0,0,0
175,13615,17,444,11631,1984,2554,0,0,0,0
176,13669,17,327,11827,1842,2404,0,0,0,0
177,13666,14,441,11729,1937,2514,0,0,0,0
178,13667,17,441,11822,1845,2400,0,0,0,0
179,13653,11,376,12071,1582,2038,0,0,0,314
180,13670,13,453,11876,1794,2346,0,0,0,254
181,13657,11,418,11889,1768,2296,0,0,0,114
182,13644,14,369,11805,1839,2356,0,0,0,140
183,13664,15,457,11766,1898,2454,0,0,0,0
184,13657,15,476,11802,1855,2334,0,0,0,0
185,13665,17,476,11782,1883,2472,0,0,0,0
186,13647,15,335,11773,1874,2426,0,0,0,0
187,13661,11,406,12195,1466,1913,0,0,0,473
188,13664,14,357,11807,1857,2346,0,0,0,0
189,13673,14,397,11768,1905,2496,0,0,0,0
190,13672,16,389,11841,1831,2428,0,0,0,0
191,13687,17,426,11731,1956,2550,0,0,0,0
192,13641,14,426,11886,1755,2270,0,0,0,0
193,13675,15,392,11766,1909,2462,0,0,0,0
194,13654,14,355,11700,1954,2510,0,0,0,0
195,13657,17,392,11665,1992,2558,0,0,0,0
196,13661,19,381,11640,2021,2646,0,0,0,0
197,13688,17,350,11961,1727,2326,0,0,0,0
198,13645,16,353,11885,1760,2264,0,0,0,0
199,13665,17,390,11798,1867,2422,0,0,0,0
200,13680,21,461,11590,2090,2774,0,0,0,0
201,13658,13,461,11858,1800,2366,0,0,0,0
202,13677,12,354,12006,1671,2238,0,0,0,0
203,13644,16,420,11715,1929,2468,0,0,0,0
204,13681,16,414,11883,1798,2340,0,0,0,0
205,13667,11,433,12027,1640,2100,0,0,0,264
206,13656,11,433,11922,1734,2191,0,0,0,403
207,13669,10,448,12055,1614,2099,0,0,0,283
208,13668,13,448,12048,1620,2084,0,0,0,276
209,13663,16,443,11668,1995,2552,0,0,0,0
210,13670,11,443,12111,1559,1997,0,0,0,403
211,13673,19,379,11798,1875,2450,0,0,0,0
212,13780,15,418,11997,1783,2358,0,0,0,0
213,13569,13,380,11779,1790,2264,0,0,0,0
214,13693,10,370,11992,1701,2217,0,0,0,69
215,13651,15,353,11961,1690,2302,0,0,0,0
216,13677,13,382,11902,1775,2360,0,0,0,0
217,13691,18,304,11649,2042,2584,0,0,0,0
218,13667,12,341,12196,1471,1897,0,0,0,427
219,13666,16,488,11852,1814,2392,0,0,0,0
220,13656,14,488,11768,1888,2456,0,0,0,0
221,13666,10,332,12060,1606,2025,0,0,0,291
222,13657,8,419,12235,1422,1828,0,0,0,462
223,13641,7,419,12187,1454,1878,0,0,0,432
224,13672,12,427,12141,1531,2063,0,0,0,299
225,13647,13,439,11974,1673,2184,0,0,0,290
226,13666,12,439,11946,1720,2212,0,0,0,300
227,13665,18,333,11617,2048,2720,0,0,0,0
228,13654,14,310,11865,1789,2358,0,0,0,0
229,13665,15,418,11870,1795,2346,0,0,0,0
230,13655,17,418,11662,1993,2608,0,0,0,0
231,13602,11,339,12123,1479,1878,0,0,0,628
232,13750,14,413,11824,1926,2529,0,0,0,19
233,13645,15,413,11894,1751,2250,0,0,0,0
234,13662,14,379,11825,1837,2420,0,0,0,0
235,13671,16,379,11728,1943,2560,0,0,0,0
236,13639,12,387,12118,1521,1889,0,0,0,347
237,13735,11,404,12138,1597,2074,0,0,0,256
238,13600,10,442,12086,1514,1955,0,0,0,549
239,13620,17,428,11694,1926,2430,0,0,0,0
240,13734,10,442,11989,1745,2332,0,0,0,0
241,13659,14,419,11846,1813,2328,0,0,0,0
242,13680,10,419,12138,1542,2026,0,0,0,408
243,13673,16,345,11930,1743,2306,0,0,0,0
244,13680,15,371,11793,1887,2502,0,0,0,0
245,13662,16,336,11774,1888,2436,0,0,0,0
246,13656,16,371,11761,1895,2450,0,0,0,0
247,13667,16,286,11873,1794,2336,0,0,0,0
248,13660,14,410,11915,1745,2209,0,0,0,159
249,13649,13,418,11709,1940,2478,0,0,0,216
250,13658,16,418,11822,1836,2390,0,0,0,0
251,13678,9,476,12198,1480,1873,0,0,0,537
252,13629,9,476,12065,1564,2014,0,0,0,338
253,13664,8,377,12248,1416,1809,0,0,0,515
